X,TMDBID,title,releaseDate,rating,num_rating,stars,star1,star2,star3,star4,star5,director,runtime,genres,production,country,budget,revenue,date,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,ScienceFiction,Thriller,War,Western
0,862,Toy Story,10/30/95,7.5,2676,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn']",Tom Hanks,Tim Allen,Don Rickles,Jim Varney,Wallace Shawn,John Lasseter,81,"['Animation', 'Comedy', 'Family']",Walt Disney Pictures,United States of America,30000000,361958736,10/30/95,1995,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,8844,Jumanji,12/15/95,6.6,828,"['Robin Williams', 'Kirsten Dunst', 'Jonathan Hyde', 'Bonnie Hunt', 'Patricia Clarkson']",Robin Williams,Kirsten Dunst,Jonathan Hyde,Bonnie Hunt,Patricia Clarkson,Joe Johnston,104,"['Adventure', 'Fantasy', 'Family']",TriStar Pictures,United States of America,65000000,262797249,12/15/95,1995,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,31357,Waiting to Exhale,12/22/95,5.9,14,"['Whitney Houston', 'Angela Bassett', 'Loretta Devine', 'Lela Rochon', 'Gregory Hines']",Whitney Houston,Angela Bassett,Loretta Devine,Lela Rochon,Gregory Hines,Forest Whitaker,127,"['Comedy', 'Drama', 'Romance']",Twentieth Century Fox Film Corporation,United States of America,16000000,81452156,12/22/95,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
5,949,Heat,12/15/95,7.4,868,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight', 'Tom Sizemore']",Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore,Michael Mann,171,"['Action', 'Crime', 'Drama', 'Thriller']",Regency Enterprises,United States of America,60000000,187436818,12/15/95,1995,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
8,9091,Sudden Death,12/22/95,5.4,69,"['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood', 'Raymond J. Barry', 'Ross Malinger']",Jean-Claude Van Damme,Powers Boothe,Dorian Harewood,Raymond J. Barry,Ross Malinger,Peter Hyams,106,"['Action', 'Adventure', 'Thriller']",Universal Pictures,United States of America,35000000,64350171,12/22/95,1995,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
9,710,GoldenEye,11/16/95,6.3,611,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen', 'Joe Don Baker']",Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker,Martin Campbell,130,"['Adventure', 'Action', 'Thriller']",United Artists,France,58000000,352194034,11/16/95,1995,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
10,9087,The American President,11/17/95,6.6,86,"['Michael Douglas', 'Annette Bening', 'Michael J. Fox', 'Martin Sheen', 'Anna Deavere Smith']",Michael Douglas,Annette Bening,Michael J. Fox,Martin Sheen,Anna Deavere Smith,Rob Reiner,106,"['Comedy', 'Drama', 'Romance']",Columbia Pictures,United States of America,62000000,107879496,11/17/95,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
13,10858,Nixon,12/22/95,6.5,22,"['Anthony Hopkins', 'Joan Allen', 'J. T. Walsh', 'Paul Sorvino', 'Ed Harris']",Anthony Hopkins,Joan Allen,J. T. Walsh,Paul Sorvino,Ed Harris,Oliver Stone,192,"['History', 'Drama']",Hollywood Pictures,United States of America,44000000,13681765,12/22/95,1995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,1408,Cutthroat Island,12/22/95,6.2,45,"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide']",Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,Patrick Malahide,Renny Harlin,119,"['Action', 'Adventure']",Le Studio Canal+,France,98000000,18517322,12/22/95,1995,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,524,Casino,11/22/95,7.5,557,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles']",Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles,Martin Scorsese,178,"['Drama', 'Crime']",Universal Pictures,France,52000000,116112375,11/22/95,1995,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
