,TMDBID,language,keyword1,keyword2,keyword3,art1,art2,sound1,sound2,producer1,producer2,producer3
0,862.0,en,toy,boy,friendship,Ralph Eggleston,NA,Randy Newman,Robert Randles,Bonnie Arnold,Ed Catmull,Ralph Guggenheim
1,8844.0,en,board game,disappearance,based on a children's book,James D. Bissell,NA,James Horner,NA,William Teitler,Scott Kroopf,Robert W. Cort
2,15602.0,en,fishing,best friend,duringcreditsstinger,NA,NA,NA,NA,NA,NA,NA
3,31357.0,en,based on novel,interracial relationship,single mother,NA,NA,Kenneth Edmonds,NA,Ronald Bass,Caron K,Terry McMillan
4,11862.0,en,baby,midlife crisis,confidence,NA,NA,Alan Silvestri,NA,Nancy Meyers,NA,NA
5,949.0,en,gambling,suicide attempt,burglar,Neil Spisak,Margie Stone McShirley,Elliot Goldenthal,Bill Abbott,Art Linson,Michael Mann,Bonnie Timmermann
6,11860.0,en,paris,brother brother relationship,chauffeur,Brian Morris,George DeTitta Jr.,John Williams,Danny Michael,Sydney Pollack,Scott Rudin,David Rubin
7,45325.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,9091.0,en,terrorist,hostage,explosive,NA,NA,John Debney,NA,Moshe Diamant,Anders P. Jensen,Howard Baldwin
9,710.0,en,cuba,falsely accused person,secret identity,Peter Lamont,Andrew Ackland-Snow,Eric Serra,Tina Turner,Barbara Broccoli,Tom Pevsner,Debbie McWilliams
10,9087.0,en,white house,u.s. president,new love,NA,NA,Marc Shaiman,NA,Rob Reiner,NA,NA
11,12110.0,en,dracula,spoof,NA,NA,NA,Hummie Mann,NA,Mel Brooks,Peter Schindler,NA
12,21032.0,en,wolf,dog-sledding race,alaska,Luc Desmarchelier,NA,NA,NA,NA,NA,NA
13,10858.0,en,wolf,dog-sledding race,alaska,Luc Desmarchelier,NA,NA,NA,NA,NA,NA
14,1408.0,en,wolf,dog-sledding race,alaska,Luc Desmarchelier,NA,NA,NA,NA,NA,NA
15,524.0,en,poker,drug abuse,1970s,Dante Ferretti,NA,NA,NA,Barbara De Fina,Ellen Lewis,Joseph P. Reidy
16,4584.0,en,bowling,based on novel,servant,NA,NA,NA,NA,Lindsay Doran,Sydney Pollack,NA
17,5.0,en,hotel,new year's eve,witch,Gary Frutkoff,Mayne Berke,Combustible Edison,Lance Brown,Lawrence Bender,Quentin Tarantino,Alexandre Rockwell
18,9273.0,en,africa,indigenous,human being-animal relationship,NA,NA,Robert Folk,NA,Gary Barber,Bob Israel,Andrew G. La Marca
19,11517.0,en,brother brother relationship,subway,new york city,Bill Groom,Beth A. Rubino,Michael Dilbeck,Mark Mancina,Neil Canton,Tracy Barone,Adam Fields
20,8012.0,en,gambling,miami,based on novel,Peter S. Larkin,Steve Arnold,John Lurie,Karyn Rachtman,Danny DeVito,Michael Shamberg,Stacey Sher
21,1710.0,en,police brutality,psychology,police operation,Jim Clay,Chris Seagers,Christopher Young,Chris Newman,Mark Tarlov,Arnon Milchan,Arnon Milchan
22,9691.0,en,cia,cat,hitman,Steve Arnold,Nathan Crowley,Mark Mancina,Robert G. Henderson,Richard Donner,Bruce A. Evans,Raynold Gideon
23,12665.0,en,dead animal,shot to death,teenage boy,NA,NA,Jerry Goldsmith,NA,Roger Birnbaum,Riley Kathryn Ellis,Daniel Grodnik
24,451.0,en,individual,prostitute,alcohol,NA,NA,Mike Figgis,NA,Lila Caz?s,Marc S. Fischer,Stuart Regen
25,16420.0,en,jealousy,shakespeare adaptation,friends,NA,NA,NA,NA,NA,NA,NA
26,9263.0,en,1970s,female friendship,coming of age,NA,NA,Cliff Eidelman,NA,Demi Moore,Jennifer Todd,Suzanne Todd
27,17015.0,en,captain,napoleonic wars,old flame,NA,NA,NA,NA,NA,NA,NA
28,902.0,fr,captain,napoleonic wars,old flame,NA,NA,NA,NA,NA,NA,NA
29,37557.0,fr,captain,napoleonic wars,old flame,NA,NA,NA,NA,NA,NA,NA
30,9909.0,en,rap,karate,high school,Donald Graham Burt,Nancy Patton,Wendy Melvoin,Lisa Coleman,Don Simpson,Jerry Bruckheimer,Lucas Foster
31,63.0,en,schizophrenia,philadelphia,cassandra syndrom,Crispian Sallis,Jeffrey Beecroft,Imogen Pollard,Jay Meagher,Charles Roven,Robert Cavallo,Gary Levinsohn
32,78802.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,9598.0,en,sheep,pig,affection,NA,NA,Nigel Westlake,NA,Bill Miller,George Miller,Doug Mitchell
34,47018.0,en,england,painter,conscientious objector,NA,NA,NA,NA,NA,NA,NA
35,687.0,en,prison,rape,socially deprived family,Richard Hoover,NA,David Robbins,Patrick Mullins,Tim Robbins,Jon Kilik,Rudd Simmons
36,9603.0,en,puberty,high school,make a match,Steven J. Jordan,NA,David Kitay,Karyn Rachtman,Robert Lawrence,Scott Rudin,Marcia Ross
37,34615.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,31174.0,en,england,kidnapper,shakespeare adaptation,NA,NA,NA,NA,NA,NA,NA
39,11443.0,en,money,loss of virginity,hiding in a dumpster,NA,NA,Danny Elfman,NA,Albert Hughes,Allen Hughes,Darryl Porter
40,35196.0,en,jealousy,medicine,fountain,NA,NA,NA,NA,Sarah Blackburn,Mark Bentley,NA
41,9312.0,en,videogame,martial arts,monster,NA,NA,George S. Clinton,NA,Lauri Apelian,Robert Engelman,Larry Kasanoff
42,577.0,en,adultery,winter,obsession,Missy Stewart,Carol Lavoie,Danny Elfman,NA,Laura Ziskin,Jonathan T. Taplin,Leslie Morgan
43,11861.0,en,adultery,winter,obsession,Missy Stewart,Carol Lavoie,Danny Elfman,NA,Laura Ziskin,Jonathan T. Taplin,Leslie Morgan
44,807.0,en,adultery,winter,obsession,Missy Stewart,Carol Lavoie,Danny Elfman,NA,Laura Ziskin,Jonathan T. Taplin,Leslie Morgan
45,10530.0,en,princess,native american,star crossed lovers,NA,NA,Alan Menken,NA,James Pentecost,NA,NA
46,8391.0,en,professor,lesbian kiss,woman director,NA,NA,Lesley Barber,NA,Barbara Tranter,Robert Lantos,Deirdre Bowen
47,629.0,en,law,theft,criminal,Howard Cummings,David Lazan,John Ottman,NA,Bryan Singer,Michael McDonnell,Kenneth Kokin
48,11448.0,en,prostitute,adoption,adoptive father,Susan Bode,Santo Loquasto,Dick Hyman,Gary Alper,Robert Greenhut,Scott Kordish,Helen Robin
49,49133.0,en,indie,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,26441.0,en,kids and family,soccer,sports film,NA,NA,NA,NA,NA,NA,NA
51,97406.0,en,alcohol,artist,music,NA,NA,NA,NA,NA,NA,NA
52,9089.0,en,baltimore,thanksgiving,family clan,Andrew McAlpine,James E. Tocci,Mark Isham,NA,Jodie Foster,Avy Kaufman,Peggy Rajski
53,11010.0,en,island,letter,postman,NA,NA,Luis Bacalov,NA,Mario Cecchi Gori,Vittorio Cecchi Gori,Gaetano Daniele
54,99040.0,fr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,11359.0,en,cupboard,games,puppet,NA,NA,Randy Edelman,NA,Kathleen Kennedy,Jane Startz,Frank Marshall
56,17182.0,en,rape,gun,self-defense,Stephen Hendrickson,Jan K. Bergstrom,James Newton Howard,Edward Tise,Mali Finn,Michael I. Levy,Michael Polaire
57,2054.0,en,handicapped person,composer,mentor,David Nichols,Jan K. Bergstrom,Michael Kamen,Tim Chau,Robert W. Cort,Ted Field,Michael Nolin
58,10607.0,en,handicapped person,composer,mentor,David Nichols,Jan K. Bergstrom,Michael Kamen,Tim Chau,Robert W. Cort,Ted Field,Michael Nolin
59,19760.0,en,handicapped person,composer,mentor,David Nichols,Jan K. Bergstrom,Michael Kamen,Tim Chau,Robert W. Cort,Ted Field,Michael Nolin
60,9536.0,en,biotope,vegetarian,pollution,NA,NA,Andrew Gross,NA,Bradley Jenkel,Brad Krevoy,Steven Stabler
61,11525.0,en,hacker,virtual reality,computer,NA,NA,Robert Folk,NA,Keith Fox,Avram 'Butch' Kaplan,Steven A. Lane
62,4482.0,fr,love triangle,southern france,estate agent,Carlos Conti,NA,NA,NA,Claude Berri,NA,NA
63,10634.0,en,rap,parents kids relationship,rapper,NA,NA,Frank Fitzpatrick,Ice Cube,NA,NA,NA
64,755.0,en,sexual obsession,eroticism,bank robber,Cecilia Montiel,Mayne Berke,Graeme Revell,NA,Quentin Tarantino,Gianni Nunnari,Robert Rodriguez
65,11859.0,en,bomb,miami,sex,NA,NA,Mark Mancina,NA,Joel Silver,NA,NA
66,28387.0,en,college,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,48750.0,en,paris,nun,boxer,NA,NA,NA,NA,NA,NA,NA
68,20927.0,en,florist,family relationships,NA,Stephen McCabe,Jefferson Sage,Dana Austin,Dane A. Davis,Michael Haley,Joseph Hartwick,Allan Mindel
69,36929.0,en,bully,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,9102.0,en,man versus machine,alien planet,struggle for survival,Perri Gorrara,Michael Devine,Tim Archer,Normand Corbeil,Karen Margiotta,Mary Margiotta,Lucie Robitaille
71,27526.0,en,loss of daughter,hit-and-run driving ,revenge,NA,NA,Jack Nitzsche,NA,David Hamburger,Richard N. Gladstein,David Hamburger
72,9623.0,en,jurors,blackmail,court case,NA,NA,James Newton Howard,NA,Rob Cowan,Irwin Winkler,Patrick McCormick
73,46785.0,fa,jurors,blackmail,court case,NA,NA,James Newton Howard,NA,Rob Cowan,Irwin Winkler,Patrick McCormick
74,400.0,fa,jurors,blackmail,court case,NA,NA,James Newton Howard,NA,Rob Cowan,Irwin Winkler,Patrick McCormick
75,880.0,nl,suicide,underdog,free love,NA,NA,Ilona Sekacz,NA,Gerard Cornelisse,Hans de Weers,Hans de Wolf
76,146599.0,en,family relationships,rural setting,african american,NA,NA,NA,NA,NA,NA,NA
77,188588.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,8447.0,en,class society,rich woman - poor man,scientist,NA,NA,Alexander Balanescu,NA,NA,NA,NA
79,10534.0,en,diary,squall,sail,NA,NA,Jeff Rona,NA,Mimi Polk Gitlin,Rocky Lang,Ridley Scott
80,17414.0,en,boss,fistfight,bully,NA,NA,NA,NA,NA,NA,NA
81,13997.0,en,nitrous oxide,candid camera,double act,NA,NA,NA,NA,NA,NA,NA
82,2086.0,en,assassination,train station,politics,Philip Harrison,Eric Orbom,Arthur B. Rubinstein,NA,John Badham,Carol Lewis,NA
83,61548.0,en,NA,NA,NA,NA,NA,Stephen Endelman,NA,Sam Waterston,Nick Wechsler,Kerry Barden
84,9095.0,en,servant,monster,laboratory,Stuart Craig,NA,George Fenton,NA,Norma Heyman,Nancy Graham Tanen,Ned Tanen
85,12158.0,en,vampire,half vampire,NA,NA,NA,J. Peter Robinson,NA,Stuart M. Besser,Mark Lipsky,Marianne Maddalena
86,9283.0,en,hometown,NA,NA,Dan Davis,Tracey A. Doyle,David A. Stewart,Amanda Scheer-Demme,Cathy Konrad,Bob Weinstein,Harvey Weinstein
87,9208.0,en,captain,pilot,major,NA,NA,Hans Zimmer,NA,Bill Badalato,Terence Chang,Joe Gareri
88,40154.0,en,captain,pilot,major,NA,NA,Hans Zimmer,NA,Bill Badalato,Terence Chang,Joe Gareri
89,406.0,en,captain,pilot,major,NA,NA,Hans Zimmer,NA,Bill Badalato,Terence Chang,Joe Gareri
90,11062.0,en,corruption,undercover,war on drugs,NA,NA,Jerry Goldsmith,NA,Harold Becker,NA,NA
91,13685.0,en,robbery,burglar,language barrier,NA,NA,Mark Mothersbaugh,NA,Cynthia Hargrave,L.M. Kit Carson,Michael Lang
92,47475.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,2045.0,en,wife husband relationship,experiment,police,NA,NA,Christopher Young,NA,Dino De Laurentiis,Martha De Laurentiis,NA
94,9614.0,en,loss of mother,loss of father,golf,NA,NA,Mark Mothersbaugh,NA,Robert Simonds,Bernie Brillstein,Brad Grey
95,688.0,en,farewell,adultery,love at first sight,Jeannine Oppewall,NA,Lennie Niehaus,Clint Eastwood,Clint Eastwood,Kathleen Kennedy,Michael Maurer
96,10874.0,en,island,pirate gang,puppet,NA,NA,Hans Zimmer,NA,Frank Oz,Brian Henson,NA
97,89333.0,en,NA,NA,NA,NA,NA,NA,NA,Donald Rosenfeld,NA,NA
98,197.0,en,individual,scotland,rape,Ken Court,Nathan Crowley,James Horner,Per Hallberg,Mel Gibson,Patsy Pollock,Bruce Davey
99,103.0,en,vietnam veteran,taxi,obsession,Charles Rosen,Herbert F. Mulligan,Bernard Herrmann,Rick Alexander,Julia Phillips,Michael Phillips,Juliet Taylor
100,33542.0,cn,new york,martial arts,supermarket,NA,NA,NA,NA,NA,NA,NA
101,43566.0,en,NA,NA,NA,Ray Fisher,NA,NA,NA,NA,NA,NA
102,71754.0,en,mining,dance lesson,coal mining,NA,NA,NA,NA,NA,NA,NA
103,43612.0,en,mining,dance lesson,coal mining,NA,NA,NA,NA,NA,NA,NA
104,51352.0,en,mining,dance lesson,coal mining,NA,NA,NA,NA,NA,NA,NA
105,16934.0,en,london,poison,NA,NA,NA,NA,NA,NA,NA,NA
106,10324.0,en,roommate,singles,love,NA,NA,Amanda Kravat,Charlton Pettus,NA,NA,NA
107,32119.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,11066.0,en,role of women,ladykiller,success,NA,NA,Marcus Miller,NA,Brian Grazer,NA,NA
109,11104.0,en,ex-girlfriend,drug smuggle,girlfriend,NA,NA,Michael Galasso,Roel A. Garc?a,Jeff Lau Chun-Wai,Yi-kan Chan,Pui-wah Chan
110,37975.0,en,NA,NA,NA,NA,NA,NA,NA,Vittorio Cecchi Gori,Rita Rusic,NA
111,2074.0,en,lsd,looking for  birth parents,half-brother,Kevin Thompson,Judy Rhee,Stephen Endelman,NA,Dean Silvers,Bob Weinstein,Harvey Weinstein
112,27793.0,en,flying,magic,NA,NA,NA,NA,NA,NA,NA,NA
113,110972.0,en,NA,NA,NA,Linda Pearl,Klaus Hasmann,Michael Convertino,Laura Ziffren,Allan Mindel,Denise Shaw,Stephen Einhorn
114,73067.0,it,boy,writer,ireland,NA,NA,Elmer Bernstein,NA,NA,NA,NA
115,11863.0,en,callgirl,san francisco,investigation,NA,NA,James Horner,NA,Robert Evans,NA,NA
116,9101.0,en,submarine,us navy,misfit,NA,NA,Randy Edelman,NA,Robert Lawrence,NA,NA
117,5757.0,en,homosexuality,mockumentary,indie,NA,NA,NA,NA,Matt Keener,Hugh Hefner,NA
118,39428.0,en,homosexuality,mockumentary,indie,NA,NA,NA,NA,Matt Keener,Hugh Hefner,NA
119,9302.0,en,homosexuality,mockumentary,indie,NA,NA,NA,NA,Matt Keener,Hugh Hefner,NA
120,11000.0,en,gay,travestie,homophobia,NA,NA,NA,NA,Mike Nichols,NA,NA
121,16388.0,en,love,best friend,true love,NA,NA,NA,NA,Edward Burns,Dick Fisher,NA
